,name,team,position,gamesPlayed,fumblesForced,fumblesRecovered,fumblesTouchdowns,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingYardsPerGame,longPassing,passingTouchdowns,interceptions,sacks,sackYardsLost,QBR,QBRating,adjQBR,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingBigPlays,rushingTouchdowns,rushingYardsPerGame,rushingFumbles,rushingFumblesLost,rushingFirstDowns,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingBigPlays,receivingYardsPerGame,receivingFumbles,receivingFumblesLost,receivingYardsAfterCatch,receivingFirstDowns,soloTackles,assistTackles,totalTackles,sacks,sackYards,tacklesForLoss,passesDefended,longInterception,interceptions,interceptionYards,interceptionTouchdowns,rushingTouchdowns,receivingTouchdowns,returnTouchdowns,totalTouchdowns,fieldGoals,kickExtraPoints,totalTwoPointConvs,totalPoints,totalPointsPerGame,kickReturns,kickReturnYards,yardsPerKickReturn,longKickReturn,kickReturnTouchdowns,puntReturns,puntReturnYards,yardsPerPuntReturn,longPuntReturn,puntReturnTouchdowns,puntReturnFairCatches,fieldGoalsMade,fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,fieldGoalAttempts1_19,fieldGoalAttempts20_29,fieldGoalAttempts30_39,fieldGoalAttempts40_49,fieldGoalAttempts50,extraPointsMade,extraPointAttempts,extraPointPct,punts,puntYards,longPunt,grossAvgPuntYards,netAvgPuntYards,puntsBlocked,puntsInside20,touchbacks,fairCatches,puntReturns,puntReturnYards,avgPuntReturnYards
20,Mitchell Trubisky,Bills,QB,7.0,,,0.0,3.0,4.0,75.0,9.0,2.25,1.2857142686843872,4.0,0.0,0.0,0.0,0.0,3.56,77.08300018310547,3.18,11.0,-10.0,-0.9089999794960022,0.0,0.0,0.0,-1.4285714626312256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Malik Willis,Packers,QB,6.0,,,0.0,30.0,41.0,73.1709976196289,414.0,10.097999572753906,69.0,51.0,3.0,0.0,5.0,16.0,88.75,129.52200317382812,88.83,19.0,135.0,7.105000019073486,29.0,3.0,1.0,22.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Marcus Mariota,Commanders,QB,2.0,0.0,0.0,0.0,19.0,26.0,73.0770034790039,203.0,7.808000087738037,101.5,25.0,2.0,0.0,1.0,4.0,69.48,121.15399932861328,58.45,13.0,36.0,2.7690000534057617,11.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tua Tagovailoa,Dolphins,QB,11.0,0.0,0.0,-1.0,291.0,399.0,72.93199920654297,2867.0,7.184999942779541,260.6363525390625,80.0,19.0,7.0,21.0,154.0,61.93,101.36299896240234,59.45,17.0,49.0,2.881999969482422,13.0,0.0,0.0,4.454545497894287,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
24,Jared Goff,Lions,QB,15.0,0.0,0.0,0.0,337.0,472.0,71.39800262451172,4095.0,8.675999641418457,273.0,82.0,33.0,10.0,27.0,203.0,65.73,112.20899963378906,66.38,32.0,59.0,1.843999981880188,10.0,0.0,0.0,3.933333396911621,0.0,0.0,9.0,1.0,1.0,7.0,7.0,1.0,7.0,0.0,0.46666666865348816,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4000000059604645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Baker Mayfield,Buccaneers,QB,15.0,0.0,0.0,-12.0,359.0,506.0,70.9489974975586,3920.0,7.747000217437744,261.3333435058594,57.0,34.0,15.0,37.0,233.0,58.25,103.53299713134766,57.34,50.0,308.0,6.159999847412109,21.0,1.0,3.0,20.53333282470703,9.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,1.2000000476837158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tommy DeVito,Giants,QB,3.0,,,0.0,31.0,44.0,70.45500183105469,257.0,5.841000080108643,85.66666412353516,23.0,0.0,0.0,6.0,31.0,31.61,85.13300323486328,26.68,8.0,32.0,4.0,17.0,0.0,0.0,10.666666984558105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Geno Smith,Seahawks,QB,16.0,0.0,0.0,-21.0,387.0,551.0,70.23600006103516,4097.0,7.435999870300293,256.0625,71.0,17.0,15.0,48.0,325.0,53.91,90.53600311279297,52.91,51.0,258.0,5.059000015258789,34.0,3.0,2.0,16.125,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jayden Daniels,Commanders,QB,15.0,0.0,0.0,0.0,301.0,432.0,69.6760025024414,3303.0,7.645999908447266,220.1999969482422,86.0,22.0,8.0,38.0,189.0,72.42,101.26399993896484,71.79,128.0,737.0,5.757999897003174,46.0,6.0,6.0,49.13333511352539,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,38.0,2.5329999923706055,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
29,Joe Burrow,Bengals,QB,15.0,0.0,0.0,0.0,384.0,557.0,68.94100189208984,4229.0,7.5920000076293945,281.9333190917969,70.0,39.0,8.0,37.0,219.0,74.51,108.52400207519531,74.33,37.0,177.0,4.783999919891357,47.0,1.0,1.0,11.800000190734863,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4000000059604645,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
