awayTeam,homeTeam,awayScore,homeScore,team1points,team2points,team1TORating,team2TORating,team1RushMultiplier,team2RushMultiplier,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,spread
Raiders,Chargers,10,22,17.85,24.0,0.6855625697544643,3.281325120192308,0.7041542861373936,0.8805251850721572,0.9532653022752108,0.9767707960407691,0.9737182504443405,0.9104897926232793,0.8753193927983822,0.6257133293679531,-12
Broncos,Seahawks,20,26,22.799999999999997,20.5,1.1885914522058822,0.6398583984374999,0.9402310141241055,0.660119509248733,0.9886416806627398,0.9418506329509863,0.8943577532658037,1.1608476610152094,0.5722112359885361,2.10802692328312,-6
Cowboys,Browns,33,17,22.85,21.65,1.142604282924107,0.5713021414620535,0.8421651079956326,0.9386294194674814,0.9737717970063982,0.9895395882422172,1.0206034200474734,0.9798090826836227,1.1073504758390103,0.903040659523083,16
Commanders,Buccaneers,20,37,25.9,26.5,1.421907552083333,1.026510799632353,1.092235891473788,1.4058224002729396,1.0208620362539822,1.0703434407432981,1.1379590482754813,1.0013971482764534,1.9082407547346234,1.007005288907051,-17
Rams,Lions,20,26,20.65,27.6,1.3423602764423077,1.4765963040865384,0.7227667150610807,1.3090746330772072,0.9467791024361673,1.0520883275775361,1.1297834843030083,1.2557617528280172,1.8406707399367355,3.1227430993793615,-6
Jets,49ers,19,32,21.200000000000003,23.05,1.2546243106617647,1.3423602764423077,0.7619932171458315,1.091863070398532,0.959659653591671,1.0169062336519978,0.8392985028817957,0.9603688904091527,0.4164685800294767,0.8169404810127429,-13
Bills,Dolphins,31,10,26.3,20.950000000000003,3.1992919921875,0.7284915352229602,0.9423604228872717,0.854417935468933,0.9885863224569829,0.9740915714409762,1.0307329830080023,1.0573518226166014,1.1634048434746458,1.3215925786189884,21
Saints,Cowboys,44,19,23.85,21.95,0.9621930803571428,0.8569532121930804,1.1428055096815417,0.9439578285430499,1.0268525423836206,0.9911161995486505,0.9586418197355847,1.1543741653436534,0.8096211661642918,2.0499015029788277,25
Buccaneers,Lions,20,16,24.799999999999997,27.9,0.793212890625,1.640662560096154,1.0129737119742834,1.0036573740937298,1.0025758823380395,1.000688531981307,1.2866695587688903,1.3735419976220695,3.5264288892116893,4.888883800814582,4
Colts,Packers,10,16,20.75,26.35,0.45649826285671813,0.9409682329963236,0.9434914531155763,1.3427004410314267,0.986791752960434,1.0652234694881757,0.904898160298968,1.107162693588969,0.606734270830425,1.663631818003379,-6
Jets,Titans,24,17,23.200000000000003,21.3,1.2546243106617647,0.8949068509615385,0.8148919198237238,0.9289235045082894,0.9694666856165225,0.9855994483562706,0.8145728514057363,0.7863860663935787,0.3586325116535358,0.3007315891019256,7
49ers,Vikings,17,23,20.450000000000003,24.85,0.562925277217742,1.0753922662815127,0.7996104447390745,0.9157435115145025,0.9582376415580973,0.9860421760526735,1.2165671435448235,0.946880957901813,2.6648969228694837,0.7611616767573206,-6
Seahawks,Patriots,23,20,23.35,19.0,1.333038330078125,1.026510799632353,0.8605129316992414,1.016721471397456,0.9785641245566851,1.0037681194052452,1.0932450592872485,0.7508081138797554,1.5616640634268257,0.23858590692774795,3
Giants,Commanders,18,21,19.8,26.799999999999997,1.026510799632353,1.7062890625,1.004022515334102,1.548154176503387,1.0007584730339538,1.1076983465467267,0.7655177724947868,0.9664984975144961,0.26289140612371814,0.8433462460773332,-3
Chargers,Panthers,26,3,27.0,18.1,2.66607666015625,0.8725341796875,1.3474472771562682,0.9203569977790932,1.0566313689590303,0.9834145328350438,0.9567119755821241,0.7953703935559682,0.8015046591493535,0.3183076710514707,23
Browns,Jaguars,18,13,20.55,21.8,1.333038330078125,1.3909965183423916,0.8790339007711335,0.875089258308219,0.9788207972794084,0.9770009669619986,1.1373729757097728,0.9185880187481443,1.9033318953830294,0.6540393568821484,5
