awayTeam,homeTeam,awayScore,homeScore,season,team1points,team2points,pointDiff,team1TORating,TORatingDiff,team2TORating,team1RushMultiplier,team2RushMultiplier,RushMultDiff,AdjRushDiff,team1AdjRushRating,team2AdjRushRating,team1PassMultiplier,team2PassMultiplier,team1AdjPassRating,team2AdjPassRating,PassMultDiff,AdjPassDiff,FPI_diff,SOS_diff,AVGWP,totEfficiencyDiff,offEfficiencyDiff,defEfficiencyDiff,spread,spread_zscore
Ravens,Bills,24,17,0.0,24.700000000000003,18.6,6.100000000000001,1.4309358016304345,0.3916245351830663,1.0393112664473683,1.666057244973507,0.9407536972201314,0.7253035477533756,0.18187830118213277,1.1689026360797432,0.9870243348976104,0.7127522161434039,0.757319515177644,0.1839470729903561,0.24911262665455042,-0.04456729903424006,-0.06516555366419433,10.6,-2.0,-8.0,17.300000000000004,28.700000000000003,-0.3999999999999986,7,0.4622326963680558
Bengals,Browns,19,27,0.0,21.0,23.6,-2.6000000000000014,0.8227880859375001,-0.2791602434430802,1.1019483293805803,1.076070937884737,1.3876347661641895,-0.3115638282794524,-0.05173416663669039,1.0111193017150781,1.0628534683517685,0.8968786765834248,0.9847550287224277,0.5803212766281616,0.9260640736432214,-0.08787635213900291,-0.34574279701505983,-5.8,1.0,9.0,-12.2,-12.600000000000001,-4.699999999999996,-8,0.5485722888559387
Washington,Packers,15,20,0.0,18.1,25.35,-7.25,0.9403292410714287,-0.7857996105457038,1.7261288516171325,0.9317584346189658,1.286779885017714,-0.3550214503987481,-0.057541928843931056,0.9863929800905317,1.0439349089344627,0.7406223544252848,1.0094832651562244,0.22283534716805084,1.0483242179973618,-0.26886091073093965,-0.8254888708293109,-13.3,6.0,26.0,-35.800000000000004,-36.099999999999994,-23.6,-5,0.3464112918111398
Lions,Vikings,7,20,0.0,20.1,25.9,-5.799999999999997,0.6923882911115006,-0.6789251854509993,1.3713134765625,0.8734669051317414,1.2119302319597736,-0.33846332682803215,-0.06081823763401073,0.9794853297839381,1.0403035674179488,1.0315131644866167,1.1342665948466248,1.1678145306937369,1.877481686971391,-0.10275343036000817,-0.7096671562776542,-11.8,3.0,12.0,-19.400000000000006,-12.899999999999999,-22.0,-13,0.8855072839306035
49ers,Saints,48,46,0.0,25.6,24.0,1.6000000000000014,0.9332190010633267,-1.3523034598741734,2.2855224609375,1.032045375578536,0.9592509756831538,0.07279439989538217,0.012708048235051672,1.0065279435910561,0.9938198953560045,1.0379415025503858,0.8130286389704442,1.2046597189571453,0.3552460187924967,0.22491286357994156,0.8494137001646487,-0.2999999999999998,6.0,-3.0,4.799999999999997,-2.500000000000007,13.399999999999991,2,0.125297701293391
Dolphins,Jets,21,22,0.0,20.75,24.1,-3.3500000000000014,0.9041627317994506,-0.3300193971067994,1.23418212890625,0.4928583373069175,0.8348438346310891,-0.3419854973241716,-0.05209025011650803,0.9216427458182853,0.9737329959347933,1.0173256130042785,0.9239071466870586,1.0896822932551953,0.6731961639310995,0.09341846631721984,0.4164861293240958,-3.3000000000000007,-6.0,6.0,-7.799999999999997,7.800000000000004,-18.700000000000003,-1,0.07686329575140792
Colts,Buccaneers,35,38,0.0,25.35,25.950000000000003,-0.6000000000000014,0.8395796795280612,0.3160665813705851,0.5235130981574762,0.7705457885539001,0.7303436246882747,0.04020216386562536,-0.020767176696133816,0.9426461376799439,0.9634133143760777,0.950529544043624,1.365051393511301,0.7759399277307022,4.739636259505511,-0.4145218494676769,-3.963696331774809,-1.5999999999999999,2.0,-1.0,-3.8999999999999986,1.9000000000000057,-8.299999999999997,-3,0.21163729378127386
Broncos,Texans,38,24,0.0,20.85,21.700000000000003,-0.8500000000000014,1.4024796919389202,0.08249880540817145,1.3199808865307487,0.9870149356764432,1.0975867713742955,-0.11057183569785234,-0.01980485867399806,0.9975756000036549,1.017380458677653,0.9426123933211097,0.9659503467903655,0.7441589810209531,0.8409574333282679,-0.023337953469255823,-0.09679845230731476,-5.9,3.0,-8.0,-4.899999999999999,-20.1,11.700000000000003,14,0.9339416894725866
Chargers,Jaguars,45,10,0.0,22.950000000000003,20.200000000000003,2.75,0.8381542471349744,-0.924963079873954,1.7631173270089284,0.9922040576880163,0.9450273686818169,0.047176689006199424,0.00819258769279052,0.9990356062453102,0.9908430185525197,1.182813841491968,0.8525444799691124,2.3151652243192884,0.4503863647124277,0.3302693615228556,1.8647788596068606,6.2,10.0,-5.0,8.600000000000001,11.699999999999996,4.400000000000006,35,2.349068668786179
Titans,Raiders,42,21,0.0,25.65,20.15,5.5,1.9359719669117648,0.67338155370844,1.2625904132033248,1.0688955941145393,0.9697617913797628,0.09913380273477645,0.01929573745592794,1.014063179976388,0.99476744252046,1.040993930742336,1.13339938864102,1.2224778174728392,1.8703154879179724,-0.09240545789868415,-0.6478376704451332,8.4,-12.0,-2.0,13.599999999999994,-1.8999999999999986,21.699999999999996,21,1.4056506825771173
